,Mean Cyclomatic Complexity,Mean Maintainability Index,Mean Parameter Count,Sum Files,Sum Functions,Sum Halstead Bugs,Sum Halstead Difficulty,Sum Halstead Effort,Sum Halstead Time,Sum Halstead Volume,Sum Logical SLOC,Sum Physical SLOC
agilityjs,361.8,110.39529247214134,1.1312235793439742,5,725,128.28669996985982,468.7358926568411,96455230.0742689,5358623.8930149395,384860.09990957944,5739,11172
ractive,259.8333333333333,116.29554406516188,1.1676647426647426,6,870,145.60943717117092,461.71001713914484,98411013.51654755,5467278.528697086,436828.3115135127,7920,9735
sammyjs,145.3846153846154,128.49127764582047,0.8420327205794332,13,814,135.91570011391485,572.6871033656952,99850948.94768526,5547274.94153807,407747.1003417446,6186,12456
flight,63.361111111111114,122.91011602902901,1.1477982208626754,36,1018,158.72420105174197,1309.5191063965785,100555004.69628958,5586389.149793868,476172.6031552259,8040,15626
backbone,184.72727272727272,121.64846935459865,0.7105962025228098,11,900,142.2855502116349,773.1850030147053,101823066.92933433,5656837.051629686,426856.65063490474,6645,12549
angularjs-perf,258.7142857142857,133.8487274859935,0.9815682606529483,7,1207,168.49207458843034,294.9903876292151,105185972.15831634,5843665.119906464,505476.223765291,7945,26084
angularjs,170.54545454545453,127.40098555335065,1.0042214272753196,11,1311,175.51187291057784,407.84440643272575,106001631.22732984,5888979.512629435,526535.6187317335,8430,27486
typescript-backbone,362.0,112.53912041040645,1.210258251742501,6,920,152.5331573196291,721.2773664406693,106799237.63188407,5933290.979549115,457599.4719588873,7198,16540
dijon,155.75,120.35713101787887,0.8617993044905526,12,799,149.01419249928816,704.9950785658477,107681196.223592,5982288.6790884435,447042.57749786455,7002,11461
backbone_require,165.0,119.26759127054007,1.3643737422090194,14,1018,160.20323206523645,955.8397897255117,107760284.02322632,5986682.445734795,480609.6961957093,7775,14902
stapes,233.0,124.46488421810504,0.8757088563758914,8,833,149.6617871462602,634.1244445794614,107814055.94298811,5989669.7746104505,448985.3614387806,7022,11789
troopjs_require,196.0909090909091,125.34082049440744,1.09606748932816,11,1136,171.9926317594918,687.5781500622234,114668485.086718,6370471.393706556,515977.8952784753,8294,17672
canjs_require,55.18032786885246,117.20976546102835,1.4329699908227371,61,1647,224.71775914361652,2950.134617915292,118552846.35462387,6586269.24192355,674153.2774308493,11978,30814
spine,235.0,113.45041833410171,0.7937862376571404,9,926,172.0400990100254,826.1052713156239,119088167.1048957,6616009.283605317,516120.2970300761,8318,13320
backbone_marionette_require,116.63636363636364,121.5033914018113,1.1435904122505287,22,1257,185.9246411316052,1078.8572255654406,120553602.36331816,6697422.353517676,557773.9233948155,9063,17797
